program_id,var,degree,use_count,use_instr_count,live_range,spill_cost,K,label
cfg13_two_diamonds_mid.txt,k,6,2,2,19,40,1,0
cfg13_two_diamonds_mid.txt,m0,2,1,1,1,2,1,0
cfg13_two_diamonds_mid.txt,m1,1,1,1,1,2,1,1
cfg13_two_diamonds_mid.txt,m2,0,1,1,1,2,1,1
cfg13_two_diamonds_mid.txt,t0,3,3,3,11,36,1,0
cfg13_two_diamonds_mid.txt,t1,3,1,1,6,7,1,0
cfg13_two_diamonds_mid.txt,u0,6,3,3,19,60,1,1
cfg13_two_diamonds_mid.txt,u1,6,3,3,19,60,1,0
cfg13_two_diamonds_mid.txt,k,6,2,2,19,40,2,0
cfg13_two_diamonds_mid.txt,m0,2,1,1,1,2,2,0
cfg13_two_diamonds_mid.txt,m1,1,1,1,1,2,2,1
cfg13_two_diamonds_mid.txt,m2,0,1,1,1,2,2,1
cfg13_two_diamonds_mid.txt,t0,3,3,3,11,36,2,0
cfg13_two_diamonds_mid.txt,t1,3,1,1,6,7,2,0
cfg13_two_diamonds_mid.txt,u0,6,3,3,19,60,2,1
cfg13_two_diamonds_mid.txt,u1,6,3,3,19,60,2,1
cfg13_two_diamonds_mid.txt,k,6,2,2,19,40,3,1
cfg13_two_diamonds_mid.txt,m0,2,1,1,1,2,3,1
cfg13_two_diamonds_mid.txt,m1,1,1,1,1,2,3,1
cfg13_two_diamonds_mid.txt,m2,0,1,1,1,2,3,1
cfg13_two_diamonds_mid.txt,t0,3,3,3,11,36,3,0
cfg13_two_diamonds_mid.txt,t1,3,1,1,6,7,3,0
cfg13_two_diamonds_mid.txt,u0,6,3,3,19,60,3,1
cfg13_two_diamonds_mid.txt,u1,6,3,3,19,60,3,1
cfg13_two_diamonds_mid.txt,k,6,2,2,19,40,4,1
cfg13_two_diamonds_mid.txt,m0,2,1,1,1,2,4,1
cfg13_two_diamonds_mid.txt,m1,1,1,1,1,2,4,1
cfg13_two_diamonds_mid.txt,m2,0,1,1,1,2,4,1
cfg13_two_diamonds_mid.txt,t0,3,3,3,11,36,4,1
cfg13_two_diamonds_mid.txt,t1,3,1,1,6,7,4,1
cfg13_two_diamonds_mid.txt,u0,6,3,3,19,60,4,1
cfg13_two_diamonds_mid.txt,u1,6,3,3,19,60,4,1
cfg13_two_diamonds_mid.txt,k,6,2,2,19,40,5,1
cfg13_two_diamonds_mid.txt,m0,2,1,1,1,2,5,1
cfg13_two_diamonds_mid.txt,m1,1,1,1,1,2,5,1
cfg13_two_diamonds_mid.txt,m2,0,1,1,1,2,5,1
cfg13_two_diamonds_mid.txt,t0,3,3,3,11,36,5,1
cfg13_two_diamonds_mid.txt,t1,3,1,1,6,7,5,1
cfg13_two_diamonds_mid.txt,u0,6,3,3,19,60,5,1
cfg13_two_diamonds_mid.txt,u1,6,3,3,19,60,5,1
cfg14_long_liveranges_mid.txt,a0,11,2,2,11,24,1,1
cfg14_long_liveranges_mid.txt,a1,8,1,1,6,7,1,0
cfg14_long_liveranges_mid.txt,a2,8,1,1,6,7,1,0
cfg14_long_liveranges_mid.txt,b0,6,1,1,3,4,1,0
cfg14_long_liveranges_mid.txt,b1,7,1,1,3,4,1,0
cfg14_long_liveranges_mid.txt,b2,9,2,2,7,16,1,0
cfg14_long_liveranges_mid.txt,sum,3,4,4,4,20,1,0
cfg14_long_liveranges_mid.txt,t0,7,1,1,3,4,1,0
cfg14_long_liveranges_mid.txt,t1,5,1,1,2,3,1,0
cfg14_long_liveranges_mid.txt,t2,5,1,1,2,3,1,0
cfg14_long_liveranges_mid.txt,a0,11,2,2,11,24,2,1
cfg14_long_liveranges_mid.txt,a1,8,1,1,6,7,2,0
cfg14_long_liveranges_mid.txt,a2,8,1,1,6,7,2,0
cfg14_long_liveranges_mid.txt,b0,6,1,1,3,4,2,0
cfg14_long_liveranges_mid.txt,b1,7,1,1,3,4,2,0
cfg14_long_liveranges_mid.txt,b2,9,2,2,7,16,2,1
cfg14_long_liveranges_mid.txt,sum,3,4,4,4,20,2,0
cfg14_long_liveranges_mid.txt,t0,7,1,1,3,4,2,0
cfg14_long_liveranges_mid.txt,t1,5,1,1,2,3,2,0
cfg14_long_liveranges_mid.txt,t2,5,1,1,2,3,2,0
cfg14_long_liveranges_mid.txt,a0,11,2,2,11,24,3,1
cfg14_long_liveranges_mid.txt,a1,8,1,1,6,7,3,1
cfg14_long_liveranges_mid.txt,a2,8,1,1,6,7,3,0
cfg14_long_liveranges_mid.txt,b0,6,1,1,3,4,3,0
cfg14_long_liveranges_mid.txt,b1,7,1,1,3,4,3,0
cfg14_long_liveranges_mid.txt,b2,9,2,2,7,16,3,1
cfg14_long_liveranges_mid.txt,sum,3,4,4,4,20,3,1
cfg14_long_liveranges_mid.txt,t0,7,1,1,3,4,3,0
cfg14_long_liveranges_mid.txt,t1,5,1,1,2,3,3,1
cfg14_long_liveranges_mid.txt,t2,5,1,1,2,3,3,0
cfg14_long_liveranges_mid.txt,a0,11,2,2,11,24,4,1
cfg14_long_liveranges_mid.txt,a1,8,1,1,6,7,4,1
cfg14_long_liveranges_mid.txt,a2,8,1,1,6,7,4,1
cfg14_long_liveranges_mid.txt,b0,6,1,1,3,4,4,0
cfg14_long_liveranges_mid.txt,b1,7,1,1,3,4,4,0
cfg14_long_liveranges_mid.txt,b2,9,2,2,7,16,4,1
cfg14_long_liveranges_mid.txt,sum,3,4,4,4,20,4,1
cfg14_long_liveranges_mid.txt,t0,7,1,1,3,4,4,0
cfg14_long_liveranges_mid.txt,t1,5,1,1,2,3,4,1
cfg14_long_liveranges_mid.txt,t2,5,1,1,2,3,4,1
cfg14_long_liveranges_mid.txt,a0,11,2,2,11,24,5,1
cfg14_long_liveranges_mid.txt,a1,8,1,1,6,7,5,1
cfg14_long_liveranges_mid.txt,a2,8,1,1,6,7,5,1
cfg14_long_liveranges_mid.txt,b0,6,1,1,3,4,5,0
cfg14_long_liveranges_mid.txt,b1,7,1,1,3,4,5,1
cfg14_long_liveranges_mid.txt,b2,9,2,2,7,16,5,1
cfg14_long_liveranges_mid.txt,sum,3,4,4,4,20,5,1
